rid,DATE,FROM,otype,c_infl,c_link,c_foreign,c_register,domestic,n_ann
667490,2026-04-22,tportal.hr,Secular/other,1,0,0,none,0,3
667718,2026-04-21,dnevno.hr,Secular/other,1,1,0,cost_relig_life,1,3
668667,2026-01-08,vinkulja.hr,Secular/other,1,1,0,cost_relig_life,1,3
668910,2026-01-07,novilist.hr,Secular/other,1,0,0,none,0,3
670548,2026-04-25,sjeverni.info,Secular/other,1,0,1,none,0,3
670944,2026-04-28,portalnovosti.com,Secular/other,0,0,0,none,0,3
672363,2026-04-30,dnevnik.hr,Secular/other,1,0,0,none,0,3
673972,2026-05-01,freedom.hr,Secular/other,1,0,0,none,0,3
674006,2026-05-01,dnevnik.hr,Secular/other,1,0,0,none,0,3
674089,2026-05-01,ideje.hr,Secular/other,1,0,1,none,0,3
674307,2026-05-04,Miletić Marin,Secular/other,1,0,0,none,0,3
674464,2026-05-04,hrt.hr,Secular/other,1,0,0,none,0,3
674471,2026-05-04,direktno.hr,Secular/other,1,0,0,none,0,3
675296,2026-05-03,hia.com.hr,Secular/other,1,0,0,none,0,3
675329,2026-05-03,index.hr,Secular/other,1,0,0,none,0,3
676690,2026-05-05,index.hr,Secular/other,1,0,1,none,0,3
677479,2026-05-09,scena.ba,Secular/other,1,1,0,cost_relig_life,1,3
677644,2026-05-09,vecernji.hr,Secular/other,1,0,0,none,0,3
677812,2026-05-09,dnevnik.hr,Secular/other,1,0,0,none,0,3
677948,2026-05-09,croativ.net,Secular/other,1,0,0,none,0,3
678008,2026-05-08,croativ.net,Secular/other,1,0,0,none,0,3
679840,2026-05-16,dnevno.hr,Secular/other,0,1,0,other,0,3
680279,2026-01-10,zagrebi.hr,Secular/other,1,0,1,none,0,3
680342,2026-01-10,net.hr,Secular/other,1,0,1,none,0,3
681068,2026-01-09,plusportal.hr,Secular/other,1,1,0,cost_relig_life,1,3
681216,2026-01-09,NoFutureIn21Century @ r/askcroatia,Secular/other,1,1,0,cost_relig_life,1,3
681291,2026-01-09,caritas.hr,Catholic,1,1,0,charity,1,3
681398,2026-05-18,hkm.hr,Catholic,1,1,0,charity,1,3
681555,2026-05-18,bloombergadria.com,Business,1,0,1,none,0,3
681835,2026-05-18,nasice.com,Secular/other,1,0,0,none,0,3
682690,2026-05-20,financije.hr,Secular/other,1,0,0,none,0,3
683137,2026-05-19,autograf.hr,Secular/other,1,1,0,justice,1,3
683471,2026-05-19,podravski.hr,Secular/other,1,1,0,cost_relig_life,1,3
683544,2026-05-19,dnevnik.hr,Secular/other,1,0,0,none,0,3
684909,2026-05-27,danica.hr,Secular/other,1,0,0,none,0,3
684910,2026-05-27,novine.hr,Secular/other,1,0,0,none,0,3
685740,2026-05-28,nsz.hr,Secular/other,1,0,0,none,0,3
686097,2026-05-28,dnevnik.hr,Secular/other,1,0,0,none,0,3
686393,2026-05-29,crovijesti.com,Secular/other,1,0,1,none,0,3
686399,2026-05-29,hrportfolio.hr,Secular/other,1,0,0,none,0,3
686623,2026-05-29,Zadarski list,Secular/other,1,0,0,none,0,3
686635,2026-05-29,novilist.hr,Secular/other,1,0,0,none,0,3
686812,2026-05-29,dnevnik.hr,Secular/other,1,0,0,none,0,3
686862,2026-05-29,forum.tm,Secular/other,1,0,0,none,0,3
687162,2026-05-30,istra24.hr,Secular/other,1,0,0,none,0,3
687202,2026-05-30,glas-slavonije.hr,Secular/other,1,0,0,none,0,3
687293,2026-05-30,glasistre.hr,Secular/other,1,0,0,none,0,3
687296,2026-05-30,lidermedia.hr,Business,1,0,0,none,0,3
687298,2026-05-30,telegram.hr,Secular/other,1,0,0,none,0,3
687301,2026-05-30,vecernji.hr,Secular/other,1,0,0,none,0,3
687306,2026-05-30,jutarnji.hr,Secular/other,1,0,0,none,0,3
687308,2026-05-30,n1info.hr,Secular/other,1,0,0,none,0,3
687309,2026-05-30,24sata.hr,Secular/other,1,0,0,none,0,3
687310,2026-05-30,dnevnik.hr,Secular/other,1,0,0,none,0,3
687367,2026-05-30,sibenik.in,Secular/other,1,0,0,none,0,3
687715,2026-01-12,crovijesti.com,Secular/other,1,1,1,institution,0,3
