"domain","linked_pairs","core_pairs","detected_rate","specification","omitted_terms"
"poverty_social",31354,586,1.869,"leave_out_socijalna_doktrina","socijalna_doktrina"
"macro_aggregates",1938,94,4.8504,"leave_out_kompendij_ksn","kompendij_ksn"
"euro_changeover",243,0,0,"leave_out_kompendij_ksn","kompendij_ksn"
"taxes_fiscal",14110,208,1.4741,"leave_out_kompendij_ksn","kompendij_ksn"
"business_comp",13143,121,0.9206,"leave_out_kompendij_ksn","kompendij_ksn"
"green_energy",1559,202,12.957,"leave_out_kompendij_ksn","kompendij_ksn"
"housing",2627,1,0.0381,"leave_out_kompendij_ksn","kompendij_ksn"
"demography_econ",567,3,0.5291,"leave_out_kompendij_ksn","kompendij_ksn"
"inflation_prices",787,1,0.1271,"leave_out_kompendij_ksn","kompendij_ksn"
"unemployment",3335,30,0.8996,"leave_out_kompendij_ksn","kompendij_ksn"
"wages_income",9776,44,0.4501,"leave_out_kompendij_ksn","kompendij_ksn"
"poverty_social",31354,586,1.869,"leave_out_kompendij_ksn","kompendij_ksn"
"macro_aggregates",1938,93,4.7988,"leave_out_supsidijarnost","supsidijarnost"
"euro_changeover",243,0,0,"leave_out_supsidijarnost","supsidijarnost"
"taxes_fiscal",14110,199,1.4103,"leave_out_supsidijarnost","supsidijarnost"
"business_comp",13143,115,0.875,"leave_out_supsidijarnost","supsidijarnost"
"green_energy",1559,202,12.957,"leave_out_supsidijarnost","supsidijarnost"
"housing",2627,1,0.0381,"leave_out_supsidijarnost","supsidijarnost"
"demography_econ",567,3,0.5291,"leave_out_supsidijarnost","supsidijarnost"
"inflation_prices",787,1,0.1271,"leave_out_supsidijarnost","supsidijarnost"
"unemployment",3335,28,0.8396,"leave_out_supsidijarnost","supsidijarnost"
"wages_income",9776,44,0.4501,"leave_out_supsidijarnost","supsidijarnost"
"poverty_social",31354,577,1.8403,"leave_out_supsidijarnost","supsidijarnost"
"macro_aggregates",1938,94,4.8504,"leave_out_integralna_ekologija","integralna_ekologija"
"euro_changeover",243,0,0,"leave_out_integralna_ekologija","integralna_ekologija"
"taxes_fiscal",14110,203,1.4387,"leave_out_integralna_ekologija","integralna_ekologija"
"business_comp",13143,121,0.9206,"leave_out_integralna_ekologija","integralna_ekologija"
"green_energy",1559,201,12.8929,"leave_out_integralna_ekologija","integralna_ekologija"
"housing",2627,1,0.0381,"leave_out_integralna_ekologija","integralna_ekologija"
"demography_econ",567,3,0.5291,"leave_out_integralna_ekologija","integralna_ekologija"
"inflation_prices",787,1,0.1271,"leave_out_integralna_ekologija","integralna_ekologija"
"unemployment",3335,30,0.8996,"leave_out_integralna_ekologija","integralna_ekologija"
"wages_income",9776,44,0.4501,"leave_out_integralna_ekologija","integralna_ekologija"
"poverty_social",31354,581,1.853,"leave_out_integralna_ekologija","integralna_ekologija"
"macro_aggregates",1938,94,4.8504,"leave_out_univ_namjena_dobara","univ_namjena_dobara"
"euro_changeover",243,0,0,"leave_out_univ_namjena_dobara","univ_namjena_dobara"
"taxes_fiscal",14110,208,1.4741,"leave_out_univ_namjena_dobara","univ_namjena_dobara"
"business_comp",13143,121,0.9206,"leave_out_univ_namjena_dobara","univ_namjena_dobara"
"green_energy",1559,202,12.957,"leave_out_univ_namjena_dobara","univ_namjena_dobara"
"housing",2627,1,0.0381,"leave_out_univ_namjena_dobara","univ_namjena_dobara"
"demography_econ",567,3,0.5291,"leave_out_univ_namjena_dobara","univ_namjena_dobara"
"inflation_prices",787,1,0.1271,"leave_out_univ_namjena_dobara","univ_namjena_dobara"
"unemployment",3335,30,0.8996,"leave_out_univ_namjena_dobara","univ_namjena_dobara"
