scenario,voice,era,halfyear,platform_group,posts,interactions,interactions_observed,reach,interactions_per_post
broad,creators,post,2025H2,facebook,392,67068,1,3951339,171.091836734694
broad,official,post,2025H2,video,176,10320,1,412156,58.6363636363636
broad,official,post,2025H2,facebook,445,79090,1,3401142,177.730337078652
broad,secular,post,2025H2,other,43,38788,1,904381,902.046511627907
broad,secular,post,2025H2,video,118,18416,1,1334279,156.06779661017
broad,portal,post,2025H2,other,6,170,1,3552,28.3333333333333
broad,portal,post,2025H2,video,2,2314,1,40430,1157
broad,official,post,2024H2,other,3,436,1,467,145.333333333333
broad,lay_media,post,2025H2,other,32,16540,1,150162,516.875
broad,lay_media,post,2024H2,other,3,719,1,7521,239.666666666667
broad,portal,post,2024H2,other,1,52,1,1169,52
broad,portal,post,2024H2,video,1,1777,1,37120,1777
broad,portal,post,2025H1,other,1,122,1,2431,122
broad,portal,post,2025H1,video,3,8829,1,155592,2943
broad,official,post,2026H1,other,1,775,1,17300,775
broad,lay_media,post,2026H1,other,10,18824,1,180129,1882.4
